bloggerlink,bloggername,cnt,description,link,postdate,title
https://blog.naver.com/oowgoo929,대형기획사X[현장실습]IBR성남 분당미용학원,334,"오늘은 <b>서경대</b> 입시를 준비하는 학생들 업스타일 수업모습을 보여드릴건데요~ <b>서경대</b> 헤어,메이크업학과가 학생부 성적 100%에서 학생부 20% + 실기 80%로 바뀌면서 성적 때문에 진학 고민을 하던 학생들에게는... ",https://blog.naver.com/oowgoo929?Redirect=Log&logNo=221011327278,20170522,성남미용학원 성남미용입시학원에서 <b>서경대</b> 입시 준비하세요!!
https://blog.naver.com/twogse,강동 창조의아침,335,이번 2017년 <b>서경대</b> 실기대회에서 강동구미술학원 강동창조의아침 학생들이 2명 지원에서 2명 모두... <b>서경대</b>실기대회에서 입선을 수상한 김0현 학생은 강일고 3학년에 재학중입니다. 김0현 학생은 오직! 강동구... ,https://blog.naver.com/twogse?Redirect=Log&logNo=221041786722,20170701,2017<b>서경대</b>실기대회 수상자 발표-강동구미술학원 창조의아침
https://blog.naver.com/gms07161,?? 나콩 ??,336,안녕하세용 여러분 나콩이에용?? 제가 <b>서경대</b> 무대패션전공 이라는 것은!! 다들 아시겠죵?!?!?!?? 예전에도 한번 <b>서경대</b> 학식을 한번 올렸었는뎅 오랜만에 또 올려보아용???? 요번엔 2탄!!!!... ,https://blog.naver.com/gms07161?Redirect=Log&logNo=221688941800,20191026,"??<b>서경대</b> 학식 2탄? -학식메뉴 ,가격 ,맛 등등등~?"
https://blog.naver.com/sku-cast,서경대학교 캐스트 공식 블로그,337,"<b>서경대</b> 맛집, 마녀떡볶이 여러분 안녕하세요! <b>서경대</b> 서포터즈예요 :-) <b>서경대</b>학교에 다닌지도 어느덧 4년째에 접어든 저는 12학번인데요. 학교 근처 음식점은 거의 다 가봤다고 해도 과언은 아닙니다! 그런데... ",https://blog.naver.com/sku-cast?Redirect=Log&logNo=220490827207,20150924,"이색적인 떡볶이가 땡긴다면? <b>서경대</b> 맛집, 마녀떡볶이"
https://blog.naver.com/peacell,로고스멘토 적성전문학원,338,이번에는 적성전형을 실시하는 대표적인 인서울 대학인 <b>서경대</b> 적성전형의 내신 반영 현황입니다. 우선 아래의 표를 보세요. 2018 <b>서경대</b> 적성전형 내신 반영 현황 위의 표를 보면 내신 1등급은 600점... ,https://blog.naver.com/peacell?Redirect=Log&logNo=220910174637,20170113,2018 <b>서경대</b> 적성 내신반영-반영교과 수 최소 대학
https://blog.naver.com/2013103cnc,Good-Start,339,2016 <b>서경대</b> 실기대회 사고의전환 1위 C&amp;C미술학원 C&amp;C가 2016학년도 <b>서경대</b> 미술실기대회에서 사고의전환 부문 1위를 차지했습니다. 뿐만아니라 기초디자인 부문에서도 2위를 차지하며 명실상부 디자인입시... ,https://blog.naver.com/2013103cnc?Redirect=Log&logNo=220775590653,20160730,C&amp;C미술학원 2016 <b>서경대</b> 실기대회 사고의전환 1위!
https://blog.naver.com/mbcgm,대형기획사X[현장실습]  IBR광명미용학원,340,광명메이크업학원/광명MBC아카데미뷰티스쿨 ★ <b>서경대</b> 선배님들과의 토크특강 ★ 안녕하세요~~ 광명... 우리 <b>서경대</b> 선배님과의 토크특강 !!!!!! 우리 <b>서경대</b> 선배님은 저희 학원에서 고등학교때부터 미용을... ,https://blog.naver.com/mbcgm?Redirect=Log&logNo=221061120237,20170727,성신여대&amp;<b>서경대</b> 선배님들과의 토크특강 ★
https://blog.naver.com/skunivblog,서경대학교 공식블로그,341,<b>서경대</b>학교 공식블로그입니다. 오늘은 우리 대학이 교육부에서 시행한 2018년... 최영철 <b>서경대</b>학교 총장님께서는 &quot;이번 자율개선대학 선정은 급변하는 대학환경과 4차 산업혁명 도래에 대비하여 진행한... ,https://blog.naver.com/skunivblog?Redirect=Log&logNo=221345127408,20180824,"<b>서경대</b>, 2018 대학기본역량진단평가 결과, '자율개선대학... "
https://blog.naver.com/thsahepfths,맛있는 네일아트 레시피~♡,342,오늘은 인천미용학원에서 <b>서경대</b>학교 입시설명회가 진행 되었어요:-) <b>서경대</b>에는 미용예술학과가 있지요 ?~ 미용과 대학 진학에 관심이 있는 많은 고등학생들이 참석했는데요 ~ 우리 학생들을 위하여... ,https://blog.naver.com/thsahepfths?Redirect=Log&logNo=220467258277,20150831,인천미용학원 <b>서경대</b> 미용예술학과 입시설명회
https://blog.naver.com/moa4979,모아 대학 BLOG,343,업데이트 2019.07.16 [무대미술 입시 준비] 중앙대 공간연출과 와 <b>서경대</b> 무대기술과 여름 특강반 모집... *중앙대 공간연출과 소묘 그림 다음으로는 <b>서경대</b> 무대기술과 준비입니다. <b>서경대</b> 무대기술과는... ,https://blog.naver.com/moa4979?Redirect=Log&logNo=221587077466,20190716,[무대미술 입시 준비] 중앙대 공간연출과 와 <b>서경대</b> 무대기술과... 
https://blog.naver.com/hyeminsecond,나불이의 나불나불,344,"#달밝은집_정릉, 국민대, <b>서경대</b> 성북구의 유명한 맛집이였던 명*집이 사라져서 우울해 하던 나불! (명*집에서 회식하기로 했었음) 우연히 학교 페북 페이지에서 비슷한 집을 발견하고 회식장소로 정했다!... ",https://blog.naver.com/hyeminsecond?Redirect=Log&logNo=220731257652,20160614,"#달밝은집_정릉, 국민대, <b>서경대</b>"
https://blog.naver.com/bambi1,Be with me,345,<b>서경대</b>를 말로만 들었지 실제로는 가본 적이 없어서 내게는 유니콘? 용?과 같은 존재였는데 길음역에서... 마을버스는 <b>서경대</b> 정문을 통과해 마지막 정류장에 정차한다. 신기하게도 학교 정문 안쪽에 위치한... ,https://blog.naver.com/bambi1?Redirect=Log&logNo=220832958941,20161010,[길음동]미용실 <b>서경대</b> 더뷰티샵 블랙 시세이도염색
https://blog.naver.com/jsj6679,"백지윤토탈뷰티샵,힐링뷰티",346,아들시험보는날 <b>서경대</b>학교를 방문해서 많은걸 느꼈읍니다<b>서경대</b>운동장을 30분을 실컷달려보고약손명가를 따라해보기광고 전단지 만들기 참고하려고 사진찍은거이런 전단지를 보며 나도 만들어... ,https://blog.naver.com/jsj6679?Redirect=Log&logNo=221683911487,20191021,<b>서경대</b>시험
