",0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30"
"59,dur_sla.a,일상,휴무,셀카,건대,팔로우,출근,건대입구,일상스타그램,소통,좋아요,셀피,일상그램,월요일,셀피그램,사가정,일상샷,휴무끝,셀스타그램,,,,,,,,,,,,"
"60,d_dxxii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"61,firstlee.woo_sun,selfie,건대입구,일상,셀카,셀피,과제,건대,소통,카페온더플랜,follow,데일리,셀스타그램,뷰티크리에이터,,,,,,,,,,,,,,,,,"
"62,ryu_522,건대맛집,단골매장,건대입구역맛집,건대데이트코스,건대입구맛집,1992잔나비술집,나만알고싶은맛집,건대핫플,건대입구역,건대술집,건대맛집추천,건대데이트,1992잔나비,건대입구,,,,,,,,,,,,,,,,"
"63,wfdw6,이벤트,훈녀,놀기,건대맛집,힐링장소,건대술집,건대카페,건대,오늘의훈녀,축제,오늘의훈남,헌팅술집,콘서트,헌팅,행사,훈남,건대핫플,공연스타그램,페이스,건대입구,축제스타그램,공연,,,,,,,,"
"64,chae_jongmin,건대입구,군바리놀아주기힘드네,삼거리포차,맞팔,,,,,,,,,,,,,,,,,,,,,,,,,,"
"65,deokyeon__,전포여관,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"66,wfdw6,건대입구,건대핫플,축제스타그램,콘서트,건대맛집,페이스,오늘의훈녀,놀기,건대,오늘의훈남,공연스타그램,힐링장소,행사,훈남,건대카페,건대술집,훈녀,공연,헌팅,헌팅술집,축제,이벤트,,,,,,,,"
"67,taro_0513,피어싱,건대술집,강남,daily,신사,서울,잔나비,얼스타그램,탈색,원숭이,애쉬그레이,일상,데일리,selca,셀스타스램,1992,건대입구,셀카,원숭이띠,데일리룩,ootd,가로수길,감성,감성술집,건대,술집,셀기꾼,,,"
"68,haneul_bitkkal,norazo,망원동,repost,건대입구,happy_onehmday,냥토피아,원흠,컵홀더이벤트,노라조_원흠생일,ノラジョ,망원카페,생일이벤트,ourplanet,onehm,컵홀더,건대카페,아워플래닛,노라조,샤워,,,,,,,,,,,"
"69,moveo_22 on Instagra,건대입구,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"70,hyojunng_,동성로맛집,우사단길,가로수길맛집,대전,삼산동,이태원,홍대맛집,경리단길,남포동,일산,신사맛집,객리단길,건대입구,전주,부산맛집,청담,신림,이태원맛집,강남,청담맛집,신사,해방촌,혁신도시,서면맛집,달맞이길,전포카페거리,홍대,압구정,,"
"71,jascese,건대cgv,안티크코코,건대카페안티크코코,건대카페,건대역맛집,건대맛집,건대핫플,인스타감성,건대입구,건대역,,,,,,,,,,,,,,,,,,,,"
"72,wfdw6,공연,이벤트,건대,공연스타그램,오늘의훈녀,훈남,훈녀,건대맛집,건대입구,건대핫플,축제스타그램,힐링장소,건대카페,콘서트,헌팅술집,축제,헌팅,건대술집,놀기,오늘의훈남,페이스,행사,,,,,,,,"
"73,hyojunng_,부산맛집,신사맛집,이태원맛집,서면맛집,청담맛집,신림,청담,압구정,전포카페거리,남포동,혁신도시,대전,해방촌,달맞이길,가로수길맛집,삼산동,객리단길,경리단길,건대입구,일산,동성로맛집,이태원,전주,우사단길,홍대,신사,홍대맛집,강남,,"
"74,hyojunng_,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"75,lv.21.gdh,서면,헬스,술스타그램,맞팔,강남,마하,건대입구,데일리룩,첫줄,팔로우,좋아요,남포동,경리단길,오오티디,클럽,신사,홍대,일상,신림,압구정,이태원,운동,청담,소통,데일리,선팔,셀피,술,부산맛집,"
"76,ji_a_aaa,건대입구,셀스타그램,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"77,2e_solvely___,이태원,홍대,가로수길,동성로,혁신도시,신사맛집,전포카페거리,삼산동,해방촌,남포동,홍대맛집,이태원맛집,내외동,전주,압구정,청담맛집,가로수길맛집,서면맛집,부산맛집,우사단길,객리단길,동성로맛집,일산,신림,강남,대전,청담,건대입구,신사,경리단길"
"78,kmin_su3,선팔,얼스타그램,동성로,수변공원,선팔하면맞팔,서면,해운대,신촌,이태원맛집,압구정맛집,데일리,좋반,광안대교,셀피,like,02,가로수길,셀카,삼산동,부산,좋아요반사,해운대맛집,카페,건대입구,울산,인친,홍대,고2,맞팔,"
"79,haen._.a,패션,서울,일상,거울샷,전신샷,셀피,l4l,얼스타그램,강남,고딕,아메카지,부산,ootd,f4f,빈티지,daily,운동하는여자,패션스타그램,selfie,이태원,오오티디,홍대,상무지구,건대입구,셀카,,,,,"
"80,wfdw6,공연,힐링장소,훈남,훈녀,이벤트,공연스타그램,오늘의훈남,콘서트,건대핫플,놀기,헌팅술집,행사,페이스,건대입구,건대맛집,건대술집,건대카페,축제스타그램,축제,헌팅,건대,오늘의훈녀,,,,,,,,"
"81,byyh200,안전놀이터,불금,카지노,인친,밀크,맞팔,스페인,거울셀카,카지노바카라,우리카지노,맛있어요,운동,건대입구,선팔,섹꼬드,네임드달팽이,,,,,,,,,,,,,,"
"82,sehyeongjin4617,안티크코코,속초동명항,건대역,속초가자미조림,속초물곰탕,건대입구,야삼정식당,건대맛집,속초동명항맛집,속초여행,속초맛집,속초대구탕,인스타감성,속초모임장소,속초맛집추천,건대카페안티크코코,속초맛집추천야삼정식당,속초맛집야삼정식당,건대핫플,속초회식,건대카페,속초가볼만한곳,,,,,,,,"
"83,dongri_dong_dong,아워플래닛,노라조_원흠생일,norazo,원흠,컵홀더,망원동,샤워,냥토피아,repost,건대입구,생일이벤트,건대카페,onehm,happy_onehmday,노라조,컵홀더이벤트,ourplanet,ノラジョ,망원카페,,,,,,,,,,,"
